description,average,standard_deviation,individual_results,min,max,type,id
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,94.87216796875,10.45041847782817,"[100.440673828125, 102.4697265625, 122.2509765625, 91.140625, 87.852783203125, 89.345703125, 90.15771484375, 85.978759765625, 88.564697265625, 90.52001953125]",85.978759765625,122.2509765625,ccb,ccb01
Quantidade de domicilios sem banheiro,43.8970947265625,4.017898940285244,"[45.919921875, 42.38720703125, 41.10107421875, 55.27978515625, 42.391357421875, 41.544189453125, 41.95654296875, 41.8076171875, 44.0029296875, 42.580322265625]",41.10107421875,55.27978515625,ccb,ccb02
Quantidade de familias que nao possuem domicilio particular regular,28.855126953125,0.681349598314695,"[29.426513671875, 29.4794921875, 28.42626953125, 28.372314453125, 28.4130859375, 28.386962890625, 27.942138671875, 30.09716796875, 29.584228515625, 28.423095703125]",27.942138671875,30.09716796875,ccb,ccb03
Quais dados do domicílio das famílias que possuem apenas um cômodo?,23.2961181640625,2.1105551165092065,"[21.476806640625, 20.414794921875, 21.630859375, 21.7978515625, 21.35595703125, 25.83935546875, 26.645751953125, 24.2626953125, 25.54052734375, 23.99658203125]",20.414794921875,26.645751953125,ccb,ccb04
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,87.6452880859375,5.174482689043397,"[98.73681640625, 95.43017578125, 89.566162109375, 87.359130859375, 84.3408203125, 84.607666015625, 86.771484375, 82.7490234375, 83.76171875, 83.1298828125]",82.7490234375,98.73681640625,ccb,ccb05
Quais municipios possuem uma população com número inferior à 1000 pessoas?,0.728515625,0.5718950028386771,"[2.441162109375, 0.6337890625, 0.545654296875, 0.527099609375, 0.528076171875, 0.532958984375, 0.540283203125, 0.515380859375, 0.515625, 0.505126953125]",0.505126953125,2.441162109375,ccb,ccb06
Média de Idade das Pessoas nas Famílias da base de dados?,21.9206298828125,0.9774685216674323,"[23.577880859375, 21.80712890625, 21.250732421875, 21.92822265625, 20.955322265625, 22.767333984375, 20.691162109375, 21.74072265625, 23.457275390625, 21.030517578125]",20.691162109375,23.577880859375,ccb,ccb07
Qual a Idade média da população entrevistada?,21.6948974609375,1.5148029380915529,"[25.545166015625, 22.09912109375, 20.623291015625, 20.5703125, 23.15283203125, 20.833984375, 20.37353515625, 21.7255859375, 20.997314453125, 21.02783203125]",20.37353515625,25.545166015625,ccb,ccb08
Qual a Quantidade média de cômodos dos domicílios?,12.5762451171875,0.29212125241377684,"[12.555908203125, 12.117919921875, 12.802734375, 12.319580078125, 12.935302734375, 12.6279296875, 12.938720703125, 12.8681640625, 12.40478515625, 12.19140625]",12.117919921875,12.938720703125,ccb,ccb09
Qual a média de cômodos por domicilio,13.153857421875,1.6392585942559552,"[12.829833984375, 12.398193359375, 12.66650390625, 11.764404296875, 12.270263671875, 12.27587890625, 13.422119140625, 12.640869140625, 17.851806640625, 13.418701171875]",11.764404296875,17.851806640625,ccb,ccb10
Quantidade de pessoas por sexo na base de dados?,1251.630078125,14.865023134921204,"[1266.539306640625, 1236.28564453125, 1266.404541015625, 1248.02978515625, 1254.143310546875, 1264.579345703125, 1228.82958984375, 1268.92333984375, 1228.759765625, 1253.80615234375]",1228.759765625,1268.92333984375,ccb,ccb11
Valor total da média familiar e total de pessoas por municipio,63.1996826171875,4.045119076889958,"[66.975341796875, 70.105224609375, 63.015869140625, 69.456787109375, 59.31103515625, 58.688232421875, 60.02783203125, 61.760009765625, 63.314453125, 59.342041015625]",58.688232421875,70.105224609375,ccb,ccb12
Quantidade de pessoas agrupadas por nível de escolaridade,46.495166015625,4.537206576714688,"[42.84716796875, 42.81201171875, 42.33203125, 45.230712890625, 43.290771484375, 51.169189453125, 53.0048828125, 43.944091796875, 55.268798828125, 45.052001953125]",42.33203125,55.268798828125,ccb,ccb13
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,21.5103759765625,2.3780383031584016,"[28.24267578125, 21.838623046875, 21.872314453125, 21.425537109375, 21.40087890625, 19.97412109375, 20.333740234375, 20.437744140625, 20.06103515625, 19.51708984375]",19.51708984375,28.24267578125,ccb,ccb14
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,37.3304931640625,3.123130240982755,"[36.562255859375, 35.33740234375, 41.019287109375, 35.4248046875, 35.685546875, 35.80908203125, 35.30419921875, 37.076171875, 45.333984375, 35.752197265625]",35.30419921875,45.333984375,ccb,ccb15
