description,average,standard_deviation,individual_results,min,max,type,id
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,113.6154052734375,2.023038573099807,"[115.67333984375, 113.353515625, 112.412841796875, 110.564453125, 117.488037109375, 110.9326171875, 115.30126953125, 113.592041015625, 114.03173828125, 112.80419921875]",110.564453125,117.488037109375,ccb,ccb01
Quantidade de domicilios sem banheiro,43.5708251953125,1.2154355950865572,"[44.85302734375, 43.932861328125, 46.000732421875, 42.742431640625, 42.03955078125, 44.5087890625, 43.284912109375, 43.561767578125, 42.793212890625, 41.990966796875]",41.990966796875,46.000732421875,ccb,ccb02
Quantidade de familias que nao possuem domicilio particular regular,29.5763671875,0.834161785472215,"[28.8798828125, 29.266845703125, 28.601806640625, 29.293701171875, 28.935791015625, 30.03564453125, 29.151123046875, 31.60302734375, 29.79443359375, 30.201416015625]",28.601806640625,31.60302734375,ccb,ccb03
Quais dados do domicílio das famílias que possuem apenas um cômodo?,22.638330078125,0.679351988668543,"[22.50146484375, 22.9521484375, 22.474365234375, 22.655029296875, 21.8994140625, 21.900146484375, 22.21044921875, 23.315185546875, 24.24267578125, 22.232421875]",21.8994140625,24.24267578125,ccb,ccb04
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,98.419189453125,2.223405890598645,"[96.23876953125, 95.890869140625, 100.333740234375, 98.5302734375, 100.867919921875, 95.83837890625, 96.883056640625, 98.309814453125, 98.454833984375, 102.84423828125]",95.83837890625,102.84423828125,ccb,ccb05
Quais municipios possuem uma população com número inferior à 1000 pessoas?,0.9177490234375,0.6731214224101336,"[2.918212890625, 0.859130859375, 0.88330078125, 0.652099609375, 0.638671875, 0.6396484375, 0.62939453125, 0.6376953125, 0.61572265625, 0.70361328125]",0.61572265625,2.918212890625,ccb,ccb06
Média de Idade das Pessoas nas Famílias da base de dados?,26.580029296875,11.879848776157477,"[62.060302734375, 23.117919921875, 22.177001953125, 23.3896484375, 22.20849609375, 22.772216796875, 21.900634765625, 21.313720703125, 25.407958984375, 21.452392578125]",21.313720703125,62.060302734375,ccb,ccb07
Qual a Idade média da população entrevistada?,23.03701171875,1.6729112860979876,"[27.427001953125, 23.2587890625, 21.79443359375, 21.88427734375, 22.380859375, 21.7138671875, 24.191650390625, 22.05029296875, 23.6162109375, 22.052734375]",21.7138671875,27.427001953125,ccb,ccb08
Qual a Quantidade média de cômodos dos domicílios?,13.522314453125,0.5403130463685096,"[14.34326171875, 14.47412109375, 13.67724609375, 13.812255859375, 13.451416015625, 12.77294921875, 13.38330078125, 13.020263671875, 13.3759765625, 12.912353515625]",12.77294921875,14.47412109375,ccb,ccb09
Qual a média de cômodos por domicilio,13.4530029296875,0.22378389011291158,"[13.24267578125, 13.656982421875, 13.575927734375, 13.76611328125, 13.47412109375, 13.450927734375, 13.54345703125, 13.59375, 13.25830078125, 12.9677734375]",12.9677734375,13.76611328125,ccb,ccb10
Quantidade de pessoas por sexo na base de dados?,1274.1743896484375,26.016403235414145,"[1262.86865234375, 1256.351318359375, 1308.9853515625, 1268.6376953125, 1252.47216796875, 1249.72314453125, 1258.452392578125, 1335.28515625, 1278.346923828125, 1270.62109375]",1249.72314453125,1335.28515625,ccb,ccb11
Valor total da média familiar e total de pessoas por municipio,66.8830810546875,6.038395535106519,"[64.41552734375, 61.92138671875, 64.6103515625, 82.932373046875, 65.92626953125, 62.219482421875, 64.23779296875, 66.50537109375, 63.630615234375, 72.431640625]",61.92138671875,82.932373046875,ccb,ccb12
Quantidade de pessoas agrupadas por nível de escolaridade,44.986376953125,2.869142166043797,"[47.68212890625, 51.109619140625, 41.7509765625, 41.9111328125, 45.955078125, 42.9091796875, 42.662841796875, 43.282958984375, 46.86083984375, 45.739013671875]",41.7509765625,51.109619140625,ccb,ccb13
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,21.9845703125,2.090503583612589,"[28.17431640625, 20.923828125, 20.87890625, 21.74609375, 21.06298828125, 21.431884765625, 21.160888671875, 21.39599609375, 21.9833984375, 21.08740234375]",20.87890625,28.17431640625,ccb,ccb14
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,39.5495361328125,2.6185410656350285,"[37.1240234375, 40.341796875, 41.986328125, 37.09619140625, 40.452880859375, 36.776123046875, 39.118408203125, 42.83154296875, 43.783447265625, 35.984619140625]",35.984619140625,43.783447265625,ccb,ccb15
