description,average,standard_deviation,individual_results,min,max,type,id
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,79.6765869140625,19.477477833247825,"[137.853759765625, 71.698974609375, 72.875, 78.1142578125, 74.169189453125, 71.9521484375, 73.37255859375, 72.91943359375, 72.456787109375, 71.353759765625]",71.353759765625,137.853759765625,ccb,ccb01
Quantidade de domicilios sem banheiro,44.3124755859375,2.2044794517075528,"[47.94873046875, 42.9677734375, 43.707275390625, 43.6982421875, 42.477783203125, 43.168212890625, 48.790771484375, 45.36083984375, 42.032470703125, 42.97265625]",42.032470703125,48.790771484375,ccb,ccb02
Quantidade de familias que nao possuem domicilio particular regular,30.614013671875,0.9977316043030604,"[31.07763671875, 29.725830078125, 32.10546875, 32.56787109375, 30.53515625, 30.47900390625, 29.33837890625, 30.14306640625, 29.597412109375, 30.5703125]",29.33837890625,32.56787109375,ccb,ccb03
Quais dados do domicílio das famílias que possuem apenas um cômodo?,22.1517333984375,1.377248188626616,"[24.232421875, 21.1494140625, 20.89892578125, 21.47119140625, 21.424072265625, 22.96875, 21.499267578125, 21.026123046875, 25.078369140625, 21.768798828125]",20.89892578125,25.078369140625,ccb,ccb04
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,72.650048828125,6.605608587245527,"[69.41015625, 69.714599609375, 68.012451171875, 75.572021484375, 91.187255859375, 73.7060546875, 67.72265625, 69.426025390625, 70.02001953125, 71.729248046875]",67.72265625,91.187255859375,ccb,ccb05
Quais municipios possuem uma população com número inferior à 1000 pessoas?,0.81728515625,0.5565237378989613,"[2.458984375, 0.91357421875, 0.646728515625, 0.55322265625, 0.537353515625, 0.561279296875, 0.60400390625, 0.648193359375, 0.5947265625, 0.65478515625]",0.537353515625,2.458984375,ccb,ccb06
Média de Idade das Pessoas nas Famílias da base de dados?,23.561767578125,2.1940058882277005,"[29.38232421875, 25.41845703125, 22.383056640625, 22.9931640625, 23.206787109375, 22.608642578125, 21.72265625, 21.846923828125, 22.262939453125, 23.792724609375]",21.72265625,29.38232421875,ccb,ccb07
Qual a Idade média da população entrevistada?,22.775,1.1978544853768172,"[24.978759765625, 23.97119140625, 22.435302734375, 24.326416015625, 22.279296875, 22.89111328125, 21.046630859375, 21.66845703125, 21.862060546875, 22.290771484375]",21.046630859375,24.978759765625,ccb,ccb08
Qual a Quantidade média de cômodos dos domicílios?,13.1300048828125,0.4384720256205379,"[14.020263671875, 13.842529296875, 12.612548828125, 13.1064453125, 13.116943359375, 13.020751953125, 12.924072265625, 13.168212890625, 12.73291015625, 12.75537109375]",12.612548828125,14.020263671875,ccb,ccb09
Qual a média de cômodos por domicilio,13.7583740234375,1.4093907951687878,"[14.491943359375, 12.37255859375, 14.672607421875, 13.194580078125, 13.3623046875, 13.12646484375, 13.144287109375, 17.46435546875, 12.751953125, 13.002685546875]",12.37255859375,17.46435546875,ccb,ccb10
Quantidade de pessoas por sexo na base de dados?,1304.6730712890626,23.87220310571712,"[1292.934814453125, 1278.046142578125, 1296.679931640625, 1281.385986328125, 1287.605224609375, 1344.930908203125, 1347.9150390625, 1300.399658203125, 1293.96484375, 1322.8681640625]",1278.046142578125,1347.9150390625,ccb,ccb11
Valor total da média familiar e total de pessoas por municipio,63.015283203125,3.8965559127474156,"[73.943359375, 65.349853515625, 62.052001953125, 62.050048828125, 61.966796875, 60.9931640625, 61.862548828125, 60.87890625, 59.62109375, 61.43505859375]",59.62109375,73.943359375,ccb,ccb12
Quantidade de pessoas agrupadas por nível de escolaridade,47.554736328125,3.776710455272502,"[47.701416015625, 47.1162109375, 52.16943359375, 42.47119140625, 42.884033203125, 43.9755859375, 48.330810546875, 48.0361328125, 55.289306640625, 47.5732421875]",42.47119140625,55.289306640625,ccb,ccb13
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,22.30439453125,1.817670949717268,"[22.00732421875, 25.65966796875, 21.629638671875, 25.96923828125, 20.792724609375, 21.2802734375, 21.990966796875, 20.770263671875, 22.035400390625, 20.908447265625]",20.770263671875,25.96923828125,ccb,ccb14
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,38.27451171875,2.2363754312767403,"[42.197265625, 36.74609375, 42.355224609375, 37.226806640625, 37.393798828125, 36.4189453125, 36.27734375, 40.0712890625, 37.062255859375, 36.99609375]",36.27734375,42.355224609375,ccb,ccb15
